Source;Nom;Latitude;Longitude;Syst Géo;Profondeur / Intérêt;Localisation
CAP INFO 98;OBS;48N26,629;4W54,650;ED 50;;
Vérifié;VESPER;48N26,715;5W08,457;WGS 84;10 à 40 / ;Ouessant
Vérifié;NELSON;48N26,736;5W00,634;WGS 84;;Ouessant / Lanildut
Vérifié;TEUCER;48N26,760;5W08,364;WGS 84;10 à 40 / ;Ouessant
Carte épaves Ouessant;GRANGEMUIR;48N26,766;4W48,331;;;
Vérifié;CARADOC  (Minéralier);48N26,812;5W07,873;WGS 84;;Ouessant
LIVRE JOB;VOLONTA;48N26,903;5W03,917;WGS 84;10 à 20 / ;Ouessant
archeosousmarine.net;VOLONTA;48N26,912;5W03,943;;;
CAP INFO 98;VOLONTA;48N26,970;5W03,857;ED 50;8-19 /;
NARCOSE 29;VOLONTA;48N26,975;5W03,866;ED 50;;
ANGLAIS 98;U 629;48N27,000;5W47,000;;;
NARCOSE 29;MARCIA;48N27,099;5W08,700;ED 50;;
NARCOSE 29;BORNU;48N27,139;5W45,885;ED 50;;
NARCOSE 29;GEORGIOS;48N27,160;5W02,815;ED 50;;
LIVRE JOB;SAMOS;48N27,280;5W08,491;WGS 84;16 /;Ouessant
CAP INFO 98;GEORGIOS;48N27,300;5W02,800;ED 50;;
NARCOSE 29;EDILIO;48N27,304;5W02,805;ED 50;;
NARCOSE 29;RHIO;48N27,643;5W07,979;ED 50;;
NARCOSE 29;MEMLING;48N27,826;4W48,308;ED 50;;
CAP INFO 98;Aviso MEMLING;48N27,885;4W46,465;ED 50;;
CAP INFO 98;Aviso MEMLING;48N27,986;4W46,764;ED 50;;
NARCOSE 29;MARIE DUBUISSON;48N28,231;5W07,365;ED 50;;
CAP INFO 98;Chal.;48N28,249;4W50,929;ED 50;;
CAP INFO 98;Canot;48N28,300;4W56,850;ED 50;;
CAP INFO 98;Patrouilleur;48N28,354;4W57,776;ED 50;;
NARCOSE 29;RENARD;48N28,358;4W57,781;ED 50;;
CAP INFO 98;OLYMPIC-BRAVERY;48N28,419;5W06,680;ED 50;;
NARCOSE 29;INDIA;48N28,500;5W08,800;ED 50;;
FORUM EPAVES;YEMBO;48N28,714;5W02,924;WGS 84;45;Ouessant
LIVRE JOB;YEMBO;48N28,739;5W02,951;WGS 84;40 à 50 /;Ouessant
NARCOSE 29;NEREO;48N28,956;5W05,210;ED 50;;
FORUM EPAVES;NEREO;48N28,956;5W05,210;;;
CAP INFO 98;VILLE DE BUARGAS;48N29,000;4W46,166;ED 50;;
CAP INFO 98;Yacht;48N29,000;5W05,000;ED 50;;
LIVRE JOB;GLENELG;48N29,046;5W06,634;WGS 84;30 à 65 /;Ouessant
NARCOSE 29;CRESENT MAC NAB;48N29,052;5W06,735;ED 50;;
LIVRE JOB;Inconnue de Kadoran;48N29,171;5W03,663;WGS 84;60;Ouessant
NARCOSE 29;GAETE;48N29,999;5W19,003;ED 50;;
CAP INFO 98;ADOLF ANDERSEN;48N30,000;4W54,999;ED 50;;
NARCOSE 29;ADOLF ANDERSEN;48N30,000;4W55,000;ED 50;;
CAP INFO 98;ISMA;48N30,000;5W03,999;ED 50;;
Carte épaves Ouessant;U 821;48N30,767;5W10,350;;;
ANGLAIS 98;U 821;48N31,000;5W11,000;;;
NARCOSE 29;GYLLER;48N31,435;4W48,200;ED 50;;
CAP INFO 98;GYLLER;48N31,452;4W48,212;ED 50;;
ANGLAIS 98;WALENBURG;48N33,000;4W42,000;;;
CAP INFO 98;TURPEN;48N33,399;4W48,200;ED 50;;
Internet Perso;SONNIE;48N34,193;4W52,724;;;
CAP INFO 98;Goélette;48N34,999;4W56,000;ED 50;;
NARCOSE 29;LEON;48N35,120;4W44,070;ED 50;;
LIVRE JOB;ELEKTRA;48N35,165;4W43,440;WGS 84;18;Portsall
NARCOSE 29;ELEKTRA;48N35,183;4W43,668;ED 50;;
Internet Perso;ELEKTRA;48N35,184;4W43,665;WGS 84 (?);;
Internet Perso;ELEKTRA;48N35,236;4W43,340;;;
CAP INFO 98;Goélette;48N35,302;5W06,230;ED 50;;
LIVRE JOB;AMOCO CADIZ;48N35,573;4W43,065;WGS 84;8 à 32 / 3;Portsall
NARCOSE 29;AMOCO CADIZ;48N35,623;4W42,974;ED 50;;
CAP INFO 98;Grand Cargo;48N36,482;4W37,302;ED 50;;
CAP INFO 98;Chal.;48N36,999;4W35,999;ED 50;;
CAP INFO 98;MARQUIS DES ANGES;48N38,000;4W43,000;ED 50;;
CAP INFO 98;Vapeur;48N38,000;5W05,000;ED 50;;
CAP INFO 98;Vapeur;48N38,490;5W06,940;ED 50;;
LIVRE HÉNAFF;SKOG;48N38,651;2W33,405;ED 50;64;Yeu
CAP INFO 98;Vapeur;48N39,000;5W00,000;ED 50;;
OCEANS;LE MOLENE;48N39,604;2W37,809;WGS 84;;
NARCOSE 29;LAPLACE;48N39,700;2W16,400;ED 50;;St Malo
Internet Perso;LAPLACE;48N39,722;2W16,523;WGS 84;;St Malo
CERES;LAPLACE;48N39,722;2W16,523;WGS 84;;St Malo
LIVRE ST MALO;LAPLACE;48N39,780;2W16,440;ED 50;20 / ;St Malo
LIVRE ST MALO;ELEMORE;48N39,936;2W04,989;ED 50;10 à 40 / ;St Malo
CAP INFO 98;Grand Cargo;48N40,000;4W54,999;ED 50;;
CAP INFO 98;Vapeur;48N40,000;5W07,999;ED 50;;
LIVRE ST MALO;TIMAC;48N40,010;2W05,290;ED 50;25 / ;St Malo
CAP INFO 98;PLOUGASNOU;48N40,119;3W51,482;ED 50;;
OCEANS;SAINT KILDA;48N40,128;2W37,362;WGS 84;;
LIVRE ST MALO;M 4600;48N40,188;2W08,142;ED 50;;
CAP INFO 98;Grand Cargo;48N40,259;4W55,107;ED 50;;
LIVRE ST MALO;SKELDON;48N40,403;2W05,539;ED 50;0 à 25 /;
LIVRE ST MALO;FREMUR;48N40,420;2W12,030;ED 50;;St Malo
NARCOSE 29;YSSEL (RO 21);48N40,431;2W05,811;ED 50;;
Bateau;;48N40,470;2W12,030;WGS 84;;St Malo
LIVRE ST MALO;RO 21;48N40,486;2W05,722;ED 50;;
LIVRE ST MALO;HILDA;48N40,490;2W05,720;ED 50;0 à 25 / ;St Malo
CAP INFO 98;T;48N40,499;4W23,100;ED 50;;
CAP INFO 98;BAINBRIDGE;48N40,810;4W26,787;ED 50;;
CAP INFO 98;PAULINE LOUISA;48N40,927;4W38,893;ED 50;;
CAP INFO 98;U 767;48N40,950;4W57,159;ED 50;;
CAP INFO 98;Vapeur;48N40,978;4W51,285;ED 50;;
NARCOSE 29;FETLAR;48N41,000;2W04,280;ED 50;;St Malo
Bateau;FETLAR;48N41,060;2W04,350;WGS 84;;St Malo
LIVRE ST MALO;FETLAR;48N41,111;2W04,232;ED 50;26 / ;St Malo
CERES;FETLAR;48N41,122;2W04,202;WGS 84;;St Malo
Internet Perso;FETLAR;48N41,122;2W04,202;WGS 84;;St Malo
CAP INFO 98;EP;48N41,798;5W48,488;ED 50;;
CAP INFO 98;GOELAND II;48N42,000;4W33,000;ED 50;;
ANGLAIS 98;UB 36;48N42,000;5W14,000;;;
CAP INFO 98;EP;48N42,132;5W08,211;ED 50;;
CAP INFO 98;NONNY;48N42,190;4W08,141;ED 50;;
CERES;ATHABASKAN;48N42,940;4W31,485;WGS 84;;
NARCOSE 29;ATHABASKAN;48N43,000;3W59,918;ED 50;;
CAP INFO 98;ATHABASCAN;48N43,000;4W31,399;ED 50;;
CAP INFO 98;Vapeur;48N43,000;5W01,999;ED 50;;
CAP INFO 98;ABOUKIR BAY;48N43,849;3W52,949;ED 50;;
CAP INFO 98;LIOU AN AMZER II;48N43,850;3W47,149;ED 50;;
NARCOSE 29;ABOUKIR BAY;48N43,852;3W52,947;ED 50;;
CAP INFO 98;Goélette;48N44,000;4W43,999;ED 50;;
CAP INFO 98;épave;48N44,110;4W36,837;ED 50;;
CAP INFO 98;Grand Cargo;48N44,200;4W49,800;ED 50;;
CAP INFO 98;EP;48N44,642;5W19,860;ED 50;;
CAP INFO 98;AZALEE;48N44,650;3W34,282;ED 50;;
CAP INFO 98;cargo;48N44,991;4W25,934;ED 50;;
CAP INFO 98;ALIT;48N45,000;4W20,000;ED 50;;
CAP INFO 98;THERESE & MARIE;48N45,000;4W24,999;ED 50;;
CAP INFO 98;Grand Cargo;48N45,000;4W54,999;ED 50;;
CAP INFO 98;Z 32;48N45,430;4W01,460;ED 50;;
CAP INFO 98;NYMPHE DE GRANVILLE;48N45,517;3W50,386;ED 50; ;
NARCOSE 29;HINRICH HEY (V 209);48N45,582;2W01,938;ED 50;;
CERES;HINRICH HEY;48N45,639;2W01,856;WGS 84;;
Internet Perso;WALTHER DARRE;48N45,639;2W01,856;WGS 84;38 / ;St Malo
NARCOSE 29;WALTHER DARRE (V 208);48N45,691;2W02,010;ED 50;;
Bateau;WALTER DARRE;48N45,700;2W01,990;WGS 84;;St Malo
LIVRE ST MALO;HINRICH HEY;48N45,710;2W01,790;ED 50;36 / ;St Malo
LIVRE ST MALO;WALTER DARRE;48N45,730;2W01,730;ED 50;;St Malo
CERES;WALTER DARRE;48N45,808;2W02,097;WGS 84;;St Malo
CAP INFO 98;Vapeur;48N45,999;4W54,999;ED 50;;
NARCOSE 29;ENOS;48N46,000;2W49,000;ED 50;;
CAP INFO 98;Chalutier;48N46,169;4W13,379;ED 50;;
CAP INFO 98;Goélette;48N46,706;4W35,219;ED 50;;
CAP INFO 98;Grand Cargo;48N46,900;4W51,899;ED 50;;
CAP INFO 98;épave;48N47,771;5W06,725;ED 50;;
OCEANS;LUDWIG JANSSEN (M 4623);48N47,916;3W05,680;WGS 84;;
CAP INFO 98;Grand Cargo;48N48,999;5W12,500;ED 50;;
CAP INFO 98;OBS;48N49,500;5W11,999;ED 50;;
CAP INFO 98;HENRI JAIME;48N49,999;3W46,999;ED 50;;
CAP INFO 98;Voilier;48N49,999;5W05,000;ED 50;;
CAP INFO 98;caboteur;48N50,658;3W55,750;ED 50;;
CAP INFO 98;chaland;48N51,148;4W12,688;ED 50;;
CAP INFO 98;caboteur;48N51,200;3W43,955;ED 50;;
CAP INFO 98;chaland;48N51,292;4W09,540;ED 50;;
CERES;PERE EMILE;48N51,961;2W43,590;WGS 84;;
CAP INFO 98;OSWALD;48N51,979;3W59,700;ED 50;;
CAP INFO 98;Caboteur;48N51,999;4W33,999;ED 50;;
CAP INFO 98;langoustier;48N52,145;3W37,560;ED 50;;
CAP INFO 98;ANNE MARIE;48N52,500;3W30,999;ED 50;;
CAP INFO 98;Cargo;48N52,684;4W33,828;ED 50;;
CAP INFO 98;chaland;48N52,713;4W05,972;ED 50;;
Internet Forum;UNION;48N52,875;1W40,913;;;
WRECK.FR;T 29;48N53,220; 3W18,696;WGS 84;55;Port Blanc
NARCOSE 29;TORPILLEUR 29;48N53,285;3W18,617;ED 50;;
CAP INFO 98;Vapeur;48N54,000;5W07,999;ED 50;;
CAP INFO 98;épave;48N54,134;5W06,413;ED 50;;
CAP INFO 98;langoustier;48N54,442;3W40,142;ED 50;;
CAP INFO 98;Caboteur;48N54,648;3W55,740;ED 50;;
CAP INFO 98;épave;48N54,788;5W06,590;ED 50;;
CAP INFO 98;langoustier;48N54,835;3W39,317;ED 50;;
CAP INFO 98;Destroyer;48N54,859;4W22,317;ED 50;;
CAP INFO 98;Goélette;48N54,924;4W16,286;ED 50;;
CAP INFO 98;Chalutier;48N55,000;4W50,000;ED 50;;
CAP INFO 98;Vapeur;48N55,000;5W07,999;ED 50;;
CAP INFO 98;langoustier;48N55,100;3W40,912;ED 50;;
CAP INFO 98;cargo;48N55,187;3W55,720;ED 50;;
CAP INFO 98;épave;48N55,917;4W31,421;ED 50;;
OCEANS;GEORGIOS B;48N55,964;3W12,635;WGS 84;;
CAP INFO 98;MOROE;48N55,994;4W01,723;ED 50;;
CAP INFO 98;OBS;48N56,000;5W07,999;ED 50;;
ANGLAIS 98;STANHALL;48N59,000;5W17,000;;;
INTERNET;CHARYBDIS;49N00,480;3W35,860;;;
NARCOSE 29;U 971;49N01,000;5W35,000;ED 50;;
CERES;HMS DURBAN;49N20,805;0W16,002;WGS 84;;
CERES;HMS CATO;49N24,579;0W17,149;WGS 84;;
CERES;DRAGON;49N25,054;0W18,848;WGS 84;;
CERES;EMPIRE BROADSWORD;49N25,361;0W53,054;WGS 84;;
CERES;AMSTERDAM (Ex FORT YALE);49N25,632;0W33,932;WGS 84;;
CERES;HMS LAWFORD;49N25,820;0W23,763;WGS 84;;
CERES;USS TIDE;49N26,070;1W03,770;WGS 84;;
GRIEME;LE LOUISIANE;49N27,016;0E01,900;;;
CERES;SVENNER;49N27,338;1W14,904;WGS 84;;
CERES;3 chars SHERMAN;49N28,429;1W06,579;WGS 84;;
CERES;NORFALK;49N28,744;1W03,852;WGS 84;;
OCEANS;GENERAL METZINGER;49N32,484;0W01,898;ED 50;;
CERES;HMS BRITOMART;49N40,294;0W06,775;WGS 84;;
OCEANS;TOKOMARU;49N40,909;0W01,258;ED 50;;
FORUM EPAVES;CAMPEADOR;49N42,705;1W44,706;WGS 84 (?);;
Internet Perso;ECE;49N43,682;3W15,186;;;
OCEANS;VIKING 7 (VP 1501);49N44,980;0E11,410;ED 50;;
CERES;ALABAMA (Ep Bois);49N45,147;1W41,708;WGS 84;;
Internet Perso;LEOPOLDVILLE;49N45,200;1W36,618;ED 50;;
Internet Perso;LEOPOLDVILLE;49N45,244;1W36,534;;;
INTERNET;PROMETHEE;49N48,316;1W26,421;;;
INERNET;AFFRAY;49N50,200;2W34,700;;;
CERES;DUNGRANGE;49N54,897;0W27,453;WGS 84;;
ANGLAIS 98;JOHN R PARK;49N56,000;5W26,000;;;
FORUM EPAVES;WARILDA;50N06,114;0W10,376;? (ED50);;
CERES;ASHMUN J CLOUGH;50N09,941;1W41,588;WGS 84;;
CERES;HMS BLACKWOOD;50N12,534;2W14,437;WGS 84;;
CERES;ALDERSHORT;50N16,589;3W27,942;WGS 84;;
CERES;HMS BOADICEA;50N25,638;2W45,866;ED 50;;
CERES;ALBERT C. FIELD;50N28,246;1W45,353;WGS 84;;
Internet Perso;KYARRA;50N30,534;1W56,610;ED 50;;
CERES;AEOLIAN SKY;50N30,630;2W08,312;WGS 84;;
CERES;ALAUNIA;50N41,106;0E27,636;WGS 84;;
DKEPAVES;BRIGHTON;51N03,070;2E10,590;WGS 84;;
DKEPAVES;ADROIT;51N03,420;2E23,200;WGS 84;;
DKEPAVES;ST FAGAN;51N03,510;2E10,480;WGS 84;;
DKEPAVES;CRESTED EAGLE;51N04,560;2E29,461;WGS 84;;
DKEPAVES;WOLF;51N07,402;2E29,889;WGS 84;;
DKEPAVES;DENIS PAPIN;51N07,420;2E09,150;WGS 84;;
DKEPAVES;BASILISK;51N08,220;2E35,020;WGS 84;;
DKEPAVES;UB 29;51N09,240;1E43,220;WGS 84;;
DKEPAVES;PARIS;51N10,995;2E07,620;WGS 84;;
DKEPAVES;GRACIE FIELDS;51N12,556;2E39,391;WGS 84;;
DKEPAVES;BRUNO HEINEMANN;51N16,250;2E17,150;WGS 84;;
DKEPAVES;ABUKIR;51N18,820;2E18,480;WGS 84;;
DKEPAVES;SIROCO;51N18,950;2E14,130;WGS 84;;
DKEPAVES;GRAFTON;51N24,421;2E49,087;WGS 84;;
CERES;HMS GRAFTON;51N24,470;2E49,170;ED 50;;
CERES;MAGADAPUR;52N11,310;1E42,330;WGS 84;;
LIVRE HÉNAFF;LAKME73;Sables d'Olonne
