Source;Nom;Latitude;Longitude;Syst Géo;Profondeur / Intérêt;Localisation
Vérifié;VAPEUR DU RECOIN;45N56,330;1W29,486;WGS 84;25 / 3;Oléron
Rochefort;grandes grottes;45N56,408;1W24,486;WGS 84;;Oléron
Rochefort;petites grottes;45N56,436;1W24,076;WGS 84;;Oléron
Rochefort;ARBRE DU MARAIS;45N56,659;1W26,996;WGS 84;;Oléron
Vérifié;Roches - Galeries Oléron;45N56,720;1W26,910;WGS 84;;Oléron-Ré
1001 bulles;L'Etriaud des Vergnes;45N56,725;1W24,060;WGS 84;10;Oléron-Ré
SCY;VIVINA;45N57,972;1W38,342;ED 50;;Oléron-Ré
LIVRE HÉNAFF;VIVINA;45N57,972;1W38,342;ED 50;41;Oléron-Ré
1001 bulles;Le Diesel ( Le deux hélices);45N58,827;1W29,661;WGS 84;26;Oléron-Ré
;VILLE DE DIEPPE;45N59,301;1W52,531;ED 50;52;Oléron-Ré
LIVRE HÉNAFF;VILLE DE DIEPPE;45N59,301;1W52,531;ED 50;52;Oléron-Ré
1001 bulles;Vapeur à Loulou ( Mavis );45N59,527;1W26,975;WGS 84;19;Oléron-Ré
Bateau;;45N59,570;1W25,200;WGS 84;;Oléron
SHOM;TARAPACA II;45N59,938;3W00,079;ED 50;110;Sables d'Olonne
1001 bulles;Roudoudou ( Henri );45N59,966;1W27,292;WGS 84;19;Oléron-Ré
Rochefort;tête de la ferme;46N00,485;1W27,278;WGS 84;;
Bateau;;46N03,280;1W30,570;WGS 84;;Oléron-Ré
Bateau;;46N03,550;1W25,100;WGS 84;;Oléron-Ré
LIVRE HÉNAFF;Barge;46N04,272;2W05,251;ED 50;60;Ré
SCY;CARONI;46N04,491;1W48,598;ED 50;;
LIVRE HÉNAFF;CARONI;46N04,491;1W48,598;ED 50;44;Oléron-Ré
LIVRE HÉNAFF;BAYO;46N04,581;2W04,448;ED 50;59;Sables d'Olonne
LIVRE HÉNAFF;TARAPACA II;46N04,642;2W49,824;ED 50;110;Sables d'Olonne
LIVRE HÉNAFF;COQUIMBO;46N05;2W10;ED 50;66;Ré
Vérifié;SAUERLAND;46N05,530;1W42,241;WGS 84;40 / 3;Oléron-Ré
LIVRE HÉNAFF;MICHEL;46N05,590;1W21,780;ED 50;41;Oléron-Ré
SCUBAXPEDIA;ATALANTE;46N05,730;1W14,659;WGS 84;;La Rochelle
LIVRE HÉNAFF;M 4204;46N05,770;1W41,758;ED 50;34;Oléron-Ré
Bateau;;46N05,990;1W25,470;WGS 84;;Oléron-Ré
Vérifié;AVRA;46N05,991;1W25,491;WGS 84;25 / 2;Oléron-Ré
;CANDHIS;46N06,437;1W35,205;WGS 84;;
SCY;U 263;46N06,437;1W35,205;ED 50;;Oléron-Ré
LIVRE HÉNAFF;U 263;46N06,453;1W35,190;ED 50;24;Oléron-Ré
OCEANS;U263;46N06,455;1W35,190;ED 50;;Oléron-Ré
Bateau;;46N06,880;1W21,400;WGS 84;;Oléron-Ré
SCUBAXPEDIA;CAP NORD;46N06,886;1W21,405;WGS 84;;
LIVRE HÉNAFF;CAPENOR;46N06,950;1W21,240;ED 50;45;Oléron-Ré
SCY;CORNELIS (Remorqueur);46N08,229;1W41,958;ED 50;;
LIVRE HÉNAFF;CORNELIS;46N08,229;1W41,958;ED 50;31;Ré
;U 667;46N09,4xx;1W15,6xx;;;
LIVRE HÉNAFF;NAUTILUS;46N10,998;1W32,641;ED 50;16;Oléron-Ré
OCEANS;CALIFORNIAN;46N14,110;2W12,100;ED 50;;
SCY;CALIFORNIAN;46N14,112;2W12,098;ED 50;;
LIVRE HÉNAFF;CALIFORNIAN;46N14,112;2W12,098;ED 50;44;Sables d'Olonne
SCY;NIOBE;46N14,421;1W48,725;ED 50;38;Ré
LIVRE HÉNAFF;NIOBE;46N14,421;1W48,725;ED 50;38;Ré
SCY;MARKLAND;46N14,630;1W41,340;ED 50;;
LIVRE HÉNAFF;MARKLAND;46N14,702;1W41,328;ED 50;27;Ré
WRECK.FR;CALIFORNIAN;46N14,998;2W13,007;WGS 84;;
SCY;ALLIE;46N15,827;1W46,542;ED 50;;
LIVRE HÉNAFF;ALLIE;46N15,827;1W46,542;ED 50;32;Ré
SCY;AFRIQUE;46N16,371;2W14,428;ED 50;;
SCY;AFRIQUE;46N16,385;2W14,443;ED 50;;
LIVRE HÉNAFF;AFRIQUE;46N16,385;2W14,443;ED 50;46 / 3;Sables d'Olonne
Internet Perso;AFRIQUE;46N16,415;2W14,520;WGS 84;;
GRIEME;AFRIQUE;46N16,475;2W14,430;ED 50;;
SCY;GIRDA;46N21,250;1W45,591;ED 50;;
LIVRE HÉNAFF;GIRDA;46N21,250;1W45,591;ED 50;25;Sables d'Olonne
SCY;CIMCON (Alizee);46N23,857;2W00,601;ED 50;;
LIVRE HÉNAFF;CIMCOUR;46N23,857;2W00,601;ED 50;37;Sables d'Olonne
LIVRE HÉNAFF;Barge;46N25,029;2W01,053;ED 50;37;Sables d'Olonne
LIVRE HÉNAFF;FREDERIC MOREL;46N25,439;2W03,332;ED 50;39;Sables d'Olonne
SCY;FREDERIC MOREL (Bachi);46N25,440;2W03,332;ED 50;;
OCEANS;ANGLO PATAGONIAN;46N26,620;2W12,230;ED 50;;
SCY;ANGLO PATAGONIAN;46N26,622;2W12,230;ED 50;;
LIVRE HÉNAFF;ANGLO-PATAGONIAN;46N26,622;2W12,230;ED 50;45;Sables d'Olonne
SCY;ASIE (Drague);46N27,751;2W24,724;ED 50;;
LIVRE HÉNAFF;AZIE;46N27,797;2W24,700;ED 50;60;Sables d'Olonne
SCY;BACHI (Chaddi);46N28,128;1W56,064;ED 50;;
LIVRE HÉNAFF;BACHI;46N28,128;1W56,064;ED 50;35;Sables d'Olonne
LIVRE HÉNAFF;MICHELLE ALAIN;46N28,258;1W48,707;ED 50;20;Sables d'Olonne
SCY;MICHELLE ALAIN;46N28,270;1W48,700;ED 50;;
LIVRE HÉNAFF;COEUR VENDEEN;46N28,279;1W48,673;ED 50;20;Sables d'Olonne
SCY;CŒUR VENDEEN;46N28,292;1W48,677;ED 50;;
LIVRE HÉNAFF;Aviso SG3;46N29,135;1W47,050;ED 50;16;Sables d'Olonne
SCY;AVISO SG-3;46N29,138;1W47,050;ED 50;;
LIVRE HÉNAFF;JEAN MARTHE;46N29,417;1W47,238;ED 50;8;Sables d'Olonne
LIVRE HÉNAFF;WAKIVA II (?);46N31,011;2W25,495;ED 50;;Sables d'Olonne
SCY;POUTON BIQUE;46N31,564;2W10,979;ED 50;;
LIVRE HÉNAFF;ARMOR 150;46N31,564;2W10,979;ED 50;42;Sables d'Olonne
SCY;JOHN GRIFFITH MC CULLOUGH;46N32,274;2W16,583;ED 50;;
LIVRE HÉNAFF;JOHN G MC CULLOUGH;46N32,274;2W16,583;ED 50;49;Yeu
LIVRE HÉNAFF;ERETRIA;46N34,243;2W35,087;ED 50;68;Sables d'Olonne
SCY;MARY;46N35,659;2W04,080;ED 50;;
LIVRE HÉNAFF;MARY;46N35,659;2W04,080;ED 50;34;St Gilles
LIVRE;SEQUANA;46N36,650;2W18,370;WGS 84;;
SCY;SEQUANA;46N36,702;2W18,353;ED 50;;
LIVRE HÉNAFF;SEQUANA;46N36,702;2W18,353;ED 50;47;Yeu
OCEANS;SEQUANA;46N36,721;2W18,347;ED 50;;
SCY;TELLUS;46N37,143;1W53,436;ED 50;;
LIVRE HÉNAFF;SAINT ELOI;46N38,959;2W18,340;ED 50;41;Yeu
LIVRE HÉNAFF;BOA VISTA;46N39,402;2W25,534;ED 50;52;Yeu
LIVRE HÉNAFF;KATINA;46N48,069;2W33,534;ED 50;47;Yeu
;U 976;46N48,xxx;2W43,xxx;;;Yeu
LIVRE HÉNAFF;OTTO;46N49,494;2W41,396;WGS 84;56;Yeu-Noirmoutier
LIVRE HÉNAFF;U 976;46N50,528;2W40,121;ED 50;54;Yeu
LIVRE HÉNAFF;M 486;46N51,728;2W45,236;WGS 84;55;Yeu-Noirmoutier
LIVRE HÉNAFF;HOHERWEG;46N52,033;2W40,213;WGS 84;56;Yeu-Noirmoutier
LIVRE HÉNAFF;M 263;46N52,114;2W40,002;WGS 84;53;Yeu-Noirmoutier
CERES;M 263;46N52,227;2W39,118;WGS 84;;
OCEANS;SACHSENWALD;46N54,629;2W44,913;WGS 84;;
LIVRE HÉNAFF;V 414;46N54,699;2W44,817;ED 50;51;Yeu-Noirmoutier
WRECK.FR;AUBE;46N56,059;2W28,823;WGS 84;25;Noirmoutier
Vérifié;CAIRNSTRATH;47N00,571;2W29,010;WGS 84;;Noirmoutier
Vérifié;BLAMADEN;47N01,085;2W29,858;WGS 84;;Noirmoutier
NARCOSE 29;FREEDOM OF MAN;47N01,699;2W49,698;ED 50;;
Vérifié;VILLE DE ROCHEFORT;47N02,399;2W26,509;WGS 84;;Noirmoutier
